시설번호,시도명,시군구명,위도,경도,주소,출수압력
동부-대인-대인-7,광주광역시,동구,35.1550657063,126.9204313229,광주광역시 동구 중앙로 261,3.2
동부-대인-대인-8,광주광역시,동구,35.1572774912,126.9191122358,광주광역시 동구 구성로 260-1,3.2
동부-대인-대인-9,광주광역시,동구,35.1602452812,126.9202965458,광주광역시 동구 중앙로 319,3.2
동부-대인-대인-35,광주광역시,동구,35.1585240966,126.9266570066,광주광역시 동구 산수길39번길 21,3.2
동부-대인-대인-4,광주광역시,동구,35.15968261,126.9181592,광주광역시 동구 중흥로 225,3.2
동부-대인-대인-17,광주광역시,동구,35.16104911,126.9243071,광주광역시 동구 무등로383번길 8,3.2
동부-대인-대인-19,광주광역시,동구,35.1549754118,126.9204644457,광주광역시 동구 중앙로 259,3.3
동부-대인-대인-21,광주광역시,동구,35.15568111,126.9204625376,광주광역시 동구 중앙로 269,3.3
동부-대인-대인-22,광주광역시,동구,35.15645211,126.9177911,광주광역시 동구 경양로 234,3.2
동부-대인-대인-24,광주광역시,동구,35.16194711,126.9195781,광주광역시 동구 무등로333번길 4-1,3.0
동부-대인-대인-25,광주광역시,동구,35.15836211,126.9158775482,광주광역시 동구 경양로 225,3.0
동부-대인-대인-26,광주광역시,동구,35.1621489002,126.918458182,광주광역시 동구 무등로321번길 2,3.3
동부-대인-대인-27,광주광역시,동구,35.1632002326,126.9196971,광주광역시 동구 중앙로 353,3.2
동부-대인-대인-29,광주광역시,동구,35.1563856807,126.9180331,광주광역시 동구 경양로 256,3.0
동부-대인-대인-30,광주광역시,동구,35.1552480948,126.9163473152,광주광역시 동구 구성로 225,3.3
동부-대인-대인-31,광주광역시,동구,35.15675611,126.9137051,광주광역시 동구 경양로 234,3.3
동부-대인-대인-33,광주광역시,동구,35.15506511,126.9165280289,광주광역시 동구 동계천로 37,3.2
동부-대인-대인-34,광주광역시,동구,35.1602452812,126.9202965458,광주광역시 동구 중앙로 319,3.2
동부-대인-대인-35,광주광역시,동구,35.15539111,126.9158161,광주광역시 동구 경양로 234,3.2
동부-대인-대인-36,광주광역시,동구,35.1538634181,126.9192597154,광주광역시 동구 구성로238번길 32-7,3.2
동부-대인-대인-37,광주광역시,동구,35.1551255698,126.9186862283,광주광역시 동구 동계천로53번길 13-1,3.3
동부-대인-대인-39,광주광역시,동구,35.16092611,126.9225911508,광주광역시 동구 무등로 363,3.2
동부-대인-대인-41,광주광역시,동구,35.1583530203,126.9203773054,광주광역시 동구 중앙로 297,3.2
동부-대인-대인-42,광주광역시,동구,35.1584847524,126.9207185158,광주광역시 동구 중앙로 300,3.2
동부-대인-대인-43,광주광역시,동구,35.15963311,126.9207064326,광주광역시 동구 중앙로 312-1,3.2
동부-대인-대인-45,광주광역시,동구,35.1597879642,126.9261810634,광주광역시 동구 무등로 398-1,3.2
동부-대인-대인-46,광주광역시,동구,35.1617626393,126.9228178907,광주광역시 동구 중앙로342번길 27-9,3.3
동부-대인-대인-47,광주광역시,동구,35.1594955429,126.9252651,광주광역시 동구 무등로 398-24,3.2
동부-대인-대인-48,광주광역시,동구,35.1613128795,126.9229883322,광주광역시 동구 무등로359번길 6-19,3.0
동부-대인-대인-49,광주광역시,동구,35.1550142428,126.9189131,광주광역시 동구 구성로238번길 17-7,3.0
동부-대인-대인-50,광주광역시,동구,35.15829111,126.9136311,광주광역시 동구 경양로 234,3.2
동부-대인-대인-51,광주광역시,동구,35.15620111,126.9186151,광주광역시 동구 경양로 261,3.2
동부-대인-대인-292,광주광역시,동구,35.1562871258,126.9210999518,광주광역시 동구 중앙로 272-8,3.0
동부-대인-대인-301,광주광역시,동구,35.1605839377,126.9228011,광주광역시 동구 무등로 366,3.2
동부-대인-대인-302,광주광역시,동구,35.1580604911,126.9263351,광주광역시 동구 산수길35번길 19-4,3.2
동부-대인-대인-303,광주광역시,동구,35.15719411,126.9225511,광주광역시 동구 중앙로 290번길 16,3.0
동부-대인-대인-314,광주광역시,동구,35.15987511,126.9185731,광주광역시 동구 중흥로227번길 6-4,3.2
동부-대인-대인-317,광주광역시,동구,35.15634711,126.9229971,광주광역시 동구 계림로 28-2,3.3
동부-대인-대인-336,광주광역시,동구,35.15852911,126.9173546911,광주광역시 동구 경양로223번길 14-26,3.2
동부-대인-대인-337,광주광역시,동구,35.16139311,126.9194831,광주광역시 동구 중흥로227번길 22,3.3
동부-대인-대인-379,광주광역시,동구,35.16108211,126.9178281,광주광역시 동구 중흥로213번길 14-1,3.2
동부-대인-대인-380,광주광역시,동구,35.1626631694,126.9182558186,광주광역시 동구 무등로307번길 10-18,3.0
동부-대인-대인-381,광주광역시,동구,35.1580995296,126.9192449936,광주광역시 동구 경양로247번길 22,3.3
동부-대인-대인-382,광주광역시,동구,35.1603794907,126.9175561,광주광역시 동구 중흥로213번길 6-5,3.2
동부-대인-대인-383,광주광역시,동구,35.1606158398,126.9188721,광주광역시 동구 중흥로213번길 16-24,3.0
동부-대인-대인-384,광주광역시,동구,35.1585010144,126.9184881,광주광역시 동구 경양로235번길 16-13,3.3
동부-대인-대인-385,광주광역시,동구,35.15748911,126.9178891,광주광역시 동구 경양로243번길 8-2,3.2
동부-대인-대인-386,광주광역시,동구,35.16068711,126.9165770003,광주광역시 동구 중흥로209번길 5,3.0
동부-대인-대인-455,광주광역시,동구,35.1572774912,126.9191122358,광주광역시 동구 구성로 260-1,3.0
동부-대인-대인-469,광주광역시,동구,35.1590791934,126.9181349408,광주광역시 동구 경양로235번길 20-3,3.2
동부-대인-대인-489,광주광역시,동구,35.15563611,126.9199996221,광주광역시 동구 경양로277번길 7,3.0
동부-대인-대인-498,광주광역시,동구,35.1563055312,126.9208506865,광주광역시 동구 중앙로 276,3.3
동부-대인-대인-509,광주광역시,동구,35.1595346931,126.9155704598,광주광역시 동구 경양로217번길 11,3.2
동부-대인-대인-510,광주광역시,동구,35.16428911,126.9160454531,광주광역시 동구 독립로 380,3.3
동부-대인-대인-511,광주광역시,동구,35.1609845054,126.9147031,광주광역시 동구 독립로 342,3.3
동부-대인-대인-514,광주광역시,동구,35.16021711,126.9265091,광주광역시 동구 참판로 11-4,3.2
동부-대인-대인-528,광주광역시,동구,35.15902111,126.9144851,광주광역시 동구 경양로 234,3.3
동부-대인-대인-529,광주광역시,동구,35.16217711,126.9162086641,광주광역시 동구 무등로 304,3.2
동부-대인-대인-530,광주광역시,동구,35.16392311,126.9159042261,광주광역시 동구 독립로 376,3.3
동부-대인-대인-531,광주광역시,동구,35.1635389668,126.9172484247,광주광역시 동구 독립로376번길 28,3.2
동부-대인-대인-532,광주광역시,동구,35.1638002224,126.9158696545,광주광역시 동구 독립로 374,3.3
동부-대인-대인-533,광주광역시,동구,35.16507511,126.9173789628,광주광역시 동구 서암대로 310,3.3
동부-대인-대인-534,광주광역시,동구,35.16287711,126.9262371,광주광역시 동구 필문대로 62,3.3
동부-대인-대인-535,광주광역시,동구,35.16205511,126.9287791,광주광역시 동구 필문대로 90,3.3
